Explantion is not related to gender equality/ violence and discrimination  . ,,,,,,,,,,,
Explanation does not acknowledge the social/gender norm in the scenario,,,,,,,,,,,
"Explanation proposes a general solution or action (Example: They should get a divorce, he should explain to his father, he should explain to his friends, inform the police)",,,,,,,,,,,
"Explanation proposes a general reaction or response talks about giving permission (For example: They should let her go for the picnic, he should explain to his friends, she should ask/give him/her permission to work",,,,,,,,,,,
"Disagrees with gender inequitable position, gives no explanation. ",,,,,,,,,,,
Participants,Programme/ Cyclce ,Violence and tolerance of violence,,,,Manhood and Masculinity,,,Gender roles and responsibility,,
441,T1,,Yes- Tushar feels that its better to go there rather being beaten by him.,,No- Shaoib should break his friendship with them.,"No- Let him play now, when he will grow up he will not play with dolls.",,No- Madhuri should also work.,,No- Sarika should go to work.,"No- He should let her to trip, she is never been there before."
442,T1,No- He should not beat her. He should explain.,,No- Gauri has right to wear whatever cloths.,No- He should explain his friends.,No- He will improve when he will grow up.,No- She should not stay at home. She should be allowed to go for programme.,,,,"No- Seema wants to go trip, she should let go."
443,T1,,,,No- He should complaint to police.,,,No- She should not leave her job.,,,No- Brother can take care of baby.
444,T1,No- But she should not do this.,No- Tushar's father should not do this.,,,,,,,No- Sarika should do her business.,
445,T1,No- Suresh should understand her.,,,,"No- If he will play focusly, he will improve.",,"No- Madhuri should take care of home, children, husband along with her work.",,"No- Sarika should star her business from home, & she should take care of her home as well.",No- Because gilrs also allowed to go to trip.
446,T1,,,,No- Because they stairs at girls & tease girls so tushar is right.,,,No- Madhuri should work.,,,
447,T1,,,No- She likes to wear such cloths.,,,No- Its school's programme so its not ok not to go.,Yes- She should stay at home. Its man's responsibility to work.,,"No- If both are earning, its good.",No- She should allow to go to trip.
448,T1,,,,,,,No- Madhuri should not stop working.,No- Both roshani & Arun needs to work.,No- Sarika feels like work. Boys & Girls are equal.,
449,T1,No- She should live properly after marriage. Violence is wrong.,,,,No- House is alls so everybody should take responsibility.,No- stop teasing.,No- Everyone should earn money. ,,,
450,T1,,,,No- He should explain his friends.,,,,,,
451,T1,"No- Instead of beating, explain her.",No- Tushar & his mother should explain her.,No- Its not Gauri's fault but those boys.,,No- Give him Freedom.,,,,No- She should work.,
452,T1,,Yes- If he explain his father he will not hit her.,,No- Shohib is right. Because he dont like the way those boys behave.,,No- Priya has rights. She should go to school.,,,,No- She has right to go to trip. She should go.
453,T2,,Yes.. They behaved like because they tired by work .talk with them when they happy.do not left the house,,Rohit should explain there way calmly  ,,,,No household chores i s everyone is responsiblity both should equal work.they can get enough time for study,,
454,T0,,,,,,,,,,
455,T0,,Yes Because when his father return from the job they are tired ,,,,,,,,
456,T0,,,,,,,,,,
457,T0,,,,yes do not tese her he is correct,,,no he is wrong wife earning can bring more money,girle should go to school,,no send her trip brother can take care of baby
458,T0,,,,no they have to expalin they are like our sister,,,no give her permission to per choice,,,no should send her for a trip he loves too
459,T0,,,,,,,,,,
460,T0,,no prathmesh father do not beating her,,,,No, no because if income is high then both can be happy,,because she want to do own buisness,
461,T3,no he can talk with her first,,,no because he can go and meet principle,,,,,,
462,T0,,,,no he can go and complant them to police because frends are everywhrere ,,no because i think she can go anywhrer,,no Even a boy has right to work ,no she can go to work ,if man go out no on says anything but if women go out then they have problem
463,T1,,,,,,,,,no she is in home so she can be bored,
464,T0,no because if she has affaire then husband can talk to her if he is okay  with that then he was give to her right ,,,,yes if he want to play he can play ,,,,,
465,T2,"Yes - Vinita was in love with her neighbour, she should have told her husband about it. Her husband beat her because she did not tell him about it.",No - Tushar's mother's opinion is wrong because Tushar's father beats and abuses her. If Tushar and his mother go to the village and stay there for two days Tushar's father will come to get them back.,,,,,,,,
466,T2,"No, because firstly Suresh should not have beat her up. Secondly, enquiries should have been made before getting married to her. He should stay with her. ","Yes, because his father gets angry because of his work, some day if he's very angry it can result in fights as well, what if they get hurt really badly sometime because of this.",,"No - because, if any of the girls complains to her parents or teachers it can result in punishment for the boys. He should keep explaining to his friends to not do it, or else he should tell his parents about it.",,"No, because she can go to the program with her family too and her brother can also accompany her. If the program is not important to her, it should be okay if she does not go.",,,"No - because if they both work then there will be money in the house, if she does not work then her education will be of no use. This can cause fights between them, thus Sarika should explain it to her parents and in-laws.",
